"DateTime","Players"
2017-01-01 00:00:00,5
2017-01-02 00:00:00,NA
2017-01-03 00:00:00,NA
2017-01-04 00:00:00,NA
2017-01-05 00:00:00,NA
2017-01-06 00:00:00,NA
2017-01-07 00:00:00,4
2017-01-08 00:00:00,4
2017-01-09 00:00:00,3
2017-01-10 00:00:00,3
2017-01-11 00:00:00,3
2017-01-12 00:00:00,2
2017-01-13 00:00:00,3
2017-01-14 00:00:00,3
2017-01-15 00:00:00,2
2017-01-16 00:00:00,2
2017-01-17 00:00:00,1
2017-01-18 00:00:00,4
2017-01-19 00:00:00,2
2017-01-20 00:00:00,6
2017-01-21 00:00:00,2
2017-01-22 00:00:00,3
2017-01-23 00:00:00,1
2017-01-24 00:00:00,1
2017-01-25 00:00:00,1
2017-01-26 00:00:00,1
2017-01-27 00:00:00,1
2017-01-28 00:00:00,3
2017-01-29 00:00:00,3
2017-01-30 00:00:00,2
2017-01-31 00:00:00,2
2017-02-01 00:00:00,3
2017-02-02 00:00:00,1
2017-02-03 00:00:00,2
2017-02-04 00:00:00,2
2017-02-05 00:00:00,3
2017-02-06 00:00:00,1
2017-02-07 00:00:00,2
2017-02-08 00:00:00,1
2017-02-09 00:00:00,1
2017-02-10 00:00:00,2
2017-02-11 00:00:00,2
2017-02-12 00:00:00,3
2017-02-13 00:00:00,2
2017-02-14 00:00:00,3
2017-02-15 00:00:00,2
2017-02-16 00:00:00,2
2017-02-17 00:00:00,2
2017-02-18 00:00:00,3
2017-02-19 00:00:00,1
2017-02-20 00:00:00,2
2017-02-21 00:00:00,3
2017-02-22 00:00:00,4
2017-02-23 00:00:00,3
2017-02-24 00:00:00,4
2017-02-25 00:00:00,8
2017-02-26 00:00:00,10
2017-02-27 00:00:00,8
2017-02-28 00:00:00,125
2017-03-01 00:00:00,141
2017-03-02 00:00:00,286
2017-03-03 00:00:00,309
2017-03-04 00:00:00,471
2017-03-05 00:00:00,613
2017-03-06 00:00:00,478
2017-03-07 00:00:00,401
2017-03-08 00:00:00,381
2017-03-09 00:00:00,293
2017-03-10 00:00:00,266
2017-03-11 00:00:00,381
2017-03-12 00:00:00,301
2017-03-13 00:00:00,268
2017-03-14 00:00:00,242
2017-03-15 00:00:00,181
2017-03-16 00:00:00,150
2017-03-17 00:00:00,189
2017-03-18 00:00:00,278
2017-03-19 00:00:00,249
2017-03-20 00:00:00,124
2017-03-21 00:00:00,NA
2017-03-22 00:00:00,106
2017-03-23 00:00:00,163
2017-03-24 00:00:00,197
2017-03-25 00:00:00,291
2017-03-26 00:00:00,291
2017-03-27 01:00:00,296
2017-03-28 01:00:00,155
2017-03-29 01:00:00,209
2017-03-30 01:00:00,193
2017-03-31 01:00:00,174
2017-04-01 01:00:00,225
2017-04-02 01:00:00,383
2017-04-03 01:00:00,180
2017-04-04 01:00:00,210
2017-04-05 01:00:00,272
2017-04-06 01:00:00,269
2017-04-07 01:00:00,260
2017-04-08 01:00:00,341
2017-04-09 01:00:00,334
2017-04-10 01:00:00,287
2017-04-11 01:00:00,150
2017-04-12 01:00:00,300
2017-04-13 01:00:00,209
2017-04-14 01:00:00,330
2017-04-15 01:00:00,302
2017-04-16 01:00:00,290
2017-04-17 01:00:00,210
2017-04-18 01:00:00,336
2017-04-19 01:00:00,301
2017-04-20 01:00:00,280
2017-04-21 01:00:00,299
2017-04-22 01:00:00,392
2017-04-23 01:00:00,349
2017-04-24 01:00:00,197
2017-04-25 01:00:00,147
